Brand,Model,Battery,km_of_range,0-100,Top_Speed,Range,Efficiency,Fastcharge,Price_in_Germany_before_incentives,Price_in_The_Netherlands_before_incentives,Price_in_the_United_Kingdom_after_incentives,Approx_usd,Drive_Configuration
TESLA,Model 3,57.5,108,6.1,201,415,139,690.0,43970.0,43993.0,39990.0,49827,Rear Wheel Drive
TESLA,Model Y Long Range Dual Motor,75.0,129,5.0,217,435,172,670.0,55970.0,50990.0,52990.0,66025,All Wheel Drive
TESLA,Model 3 Long Range Dual Motor,75.0,108,4.4,201,500,150,770.0,52970.0,51993.0,49990.0,62287,All Wheel Drive
BYD,ATTO 3,60.5,121,7.3,160,330,183,370.0,37990.0,38990.0,37195.0,46344,Front Wheel Drive
TESLA,Model Y,57.5,135,6.9,217,350,164,580.0,45970.0,43990.0,44990.0,56057,Rear Wheel Drive
MG,MG4 Electric 64 kWh,61.7,102,7.9,160,360,171,630.0,39990.0,35785.0,29495.0,36750,Rear Wheel Drive
BYD,SEAL 82.5 kWh AWD Excellence,82.5,107,3.8,180,490,168,540.0,50990.0,50990.0,48695.0,60673,All Wheel Drive
CITROEN,e-C3,44.0,90,11.0,135,265,166,340.0,23300.0,24290.0,21000.0,26166,Front Wheel Drive
BMW,i4 eDrive40,80.7,122,5.7,190,515,157,800.0,59200.0,62992.0,57890.0,72130,Rear Wheel Drive
BYD,DOLPHIN 60.4 kWh,60.5,101,7.0,160,340,178,340.0,32990.0,35490.0,30195.0,37622,Front Wheel Drive
TESLA,Model Y Performance,75.0,150,3.7,250,415,181,640.0,60790.0,56990.0,59990.0,74747,All Wheel Drive
VOLKSWAGEN,ID.4 Pro,77.0,114,6.7,180,435,177,650.0,46335.0,49990.0,46035.0,57359,Rear Wheel Drive
HYUNDAI,Kona Electric 65 kWh,65.4,116,7.8,170,390,168,400.0,47190.0,43995.0,38595.0,48089,Front Wheel Drive
BMW,iX xDrive40,71.0,225,6.1,200,360,197,480.0,77300.0,84998.0,69905.0,87101,All Wheel Drive
VOLVO,EX30 Single Motor ER,64.0,117,5.3,180,365,175,610.0,41790.0,41495.0,38545.0,48027,Rear Wheel Drive
TESLA,Model S Plaid,95.0,201,2.3,282,560,170,780.0,110970.0,110993.0,100000.0,124600,All Wheel Drive
BYD,HAN,85.4,146,3.9,180,475,180,450.0,69020.0,69990.0,,39100,All Wheel Drive
KIA,Niro EV,64.8,111,7.8,167,385,168,390.0,45690.0,39995.0,37295.0,46469,Front Wheel Drive
TESLA,Model S Dual Motor,95.0,168,3.2,250,575,165,800.0,95970.0,95993.0,85000.0,105910,All Wheel Drive
BYD,SEAL 82.5 kWh RWD Design,82.5,96,5.9,180,500,165,550.0,44990.0,45990.0,45695.0,56935,Rear Wheel Drive
TESLA,Model Y Long Range RWD,75.0,109,5.9,217,460,163,710.0,49970.0,,,52968,Rear Wheel Drive
ROLLS-ROYCE,Spectre,102.0,828,4.5,250,465,219,540.0,379015.0,396275.0,330000.0,411180,All Wheel Drive
DACIA,Spring Electric 45,25.0,137,19.1,125,165,152,180.0,22550.0,,,23903,Front Wheel Drive
BYD,TANG,86.4,199,4.6,180,355,243,420.0,71400.0,69990.0,,39100,All Wheel Drive
HONDA,e:Ny1,61.9,147,7.6,160,335,185,300.0,47590.0,48750.0,44995.0,56063,Front Wheel Drive
HONGQI,E-HS9 99 kWh,90.0,216,4.9,200,370,243,430.0,,79995.0,,44690,All Wheel Drive
BMW,iX3,74.0,184,6.8,180,385,192,520.0,67300.0,71462.0,64165.0,79949,Rear Wheel Drive
RENAULT,Scenic E-Tech EV87 220hp,87.0,98,7.9,170,490,178,510.0,48900.0,47970.0,40995.0,51079,Front Wheel Drive
BMW,iX1 xDrive30,64.7,147,5.6,180,380,170,510.0,55000.0,57850.0,47465.0,59141,All Wheel Drive
KIA,EV6 Long Range 2WD,74.0,126,7.3,185,410,180,1070.0,51990.0,50995.0,45245.0,56375,Rear Wheel Drive
